"id","authors","title","doi"
"mtYDU","Huang, YT; Arnold, AR","Word learning in linguistic context: Processing and memory effects","http://doi.org/10.1016/j.cognition.2016.07.012"
"oVPcU","Kocab, A; Senghas, A; Snedeker, J","The emergence of temporal language in Nicaraguan Sign Language","http://doi.org/10.1016/j.cognition.2016.08.005"
"vNCyj","Nam, YJ; Polka, L","The phonetic landscape in infant consonant perception is an uneven terrain","http://doi.org/10.1016/j.cognition.2016.06.005"
"heGqg","Fernandez-Martin, A; Calvo, MG","Selective orienting to pleasant versus unpleasant visual scenes","http://doi.org/10.1016/j.cognition.2016.06.010"
"obGtF","De Havas, J; Ghosh, A; Gomi, H; Haggard, P","Voluntary motor commands reveal awareness and control of involuntary movement","http://doi.org/10.1016/j.cognition.2016.06.012"
"PEILi","Girotto, V; Fontanari, L; Gonzalez, M; Vallortigara, G; Blaye, A","Young children do not succeed in choice tasks that imply evaluating chances","http://doi.org/10.1016/j.cognition.2016.03.010"
"Pbqzu","Collins, AGE; Frank, MJ","Neural signature of hierarchically structured expectations predicts clustering and transfer of rule sets in reinforcement learning","http://doi.org/10.1016/j.cognition.2016.04.002"
"gYmNQ","Crespi, B; Leach, E; Dinsdale, N; Mokkonena, M; Hurd, P","Imagination in human social cognition, autism, and psychotic-affective conditions","http://doi.org/10.1016/j.cognition.2016.02.001"
"qNfXg","Surtees, A; Samson, D; Apperly, I","Unintentional perspective-taking calculates whether something is seen, but not how it is seen","http://doi.org/10.1016/j.cognition.2015.12.010"
"ZKxBS","Toro, JM; Nespor, M; Gervain, J","Frequency-based organization of speech sequences in a nonhuman animal","http://doi.org/10.1016/j.cognition.2015.09.006"
"UQbbY","Desantis, A; Waszak, F; Moutsopoulou, K; Haggard, P","How action structures time: About the perceived temporal order of action and predicted outcomes","http://doi.org/10.1016/j.cognition.2015.08.011"
"zGArU","Kibbe, MM; Feigenson, L","Infants use temporal regularities to chunk objects in memory","http://doi.org/10.1016/j.cognition.2015.09.022"
"qdzTt","Sjerps, MJ; Meyer, AS","Variation in dual-task performance reveals late initiation of speech planning in turn-taking","http://doi.org/10.1016/j.cognition.2014.10.008"
"zlGVv","Priva, UC; Austerweil, JL","Analyzing the history of Cognition using Topic Models","http://doi.org/10.1016/j.cognition.2014.11.006"
"BVGVL","Miozzo, M; Rawlins, K; Rapp, B","How verbs and non-verbal categories navigate the syntax/semantics interface: Insights from cognitive neuropsychology","http://doi.org/10.1016/j.cognition.2014.08.004"
"TeTHx","Baus, C; Sebanz, N; de la Fuente, V; Branzi, FM; Martin, C; Costa, A","On predicting others' words: Electrophysiological evidence of prediction in speech production","http://doi.org/10.1016/j.cognition.2014.07.006"
"uQntS","Escudero, P; Williams, D","Distributional learning has immediate and long-lasting effects","http://doi.org/10.1016/j.cognition.2014.07.002"
"FcYpz","Howard, LH; Carrazza, C; Woodward, AL","Neighborhood linguistic diversity predicts infants' social learning","http://doi.org/10.1016/j.cognition.2014.08.002"
"waoFs","Shreves, WB; Hart, W; Adams, JM; Guadagno, RE; Eno, CA","The complex interplay between semantics and grammar in impression formation","http://doi.org/10.1016/j.cognition.2014.05.007"
"eznPG","Kaneko, T; Tomonaga, M","Differential reliance of chimpanzees and humans on automatic and deliberate control of motor actions","http://doi.org/10.1016/j.cognition.2014.02.002"
