"id","authors","title","doi"
"uKwTk","Horner, AJ; Bisby, JA; Wang, AJ; Bogus, K; Burgess, N","The role of spatial boundaries in shaping long-term event representations","http://doi.org/10.1016/j.cognition.2016.05.013"
"leydV","Thomas, C; Didierjean, A","Magicians fix your mind: How unlikely solutions block obvious ones","http://doi.org/10.1016/j.cognition.2016.06.002"
"zkxvx","Yin, J; Xu, HK; Ding, XW; Liang, JY; Shui, RD; Shen, MW","Social constraints from an observer's perspective: Coordinated actions make an agent's position more predictable","http://doi.org/10.1016/j.cognition.2016.02.009"
"OLTbR","Douven, I","Vagueness, graded membership, and conceptual spaces","http://doi.org/10.1016/j.cognition.2016.03.007"
"VVNZR","Braithwaite, DW; Goldstone, RL; van der Maas, HLJ; Landy, DH","Non-formal mechanisms in mathematical cognitive development: The case of arithmetic","http://doi.org/10.1016/j.cognition.2016.01.004"
"eMizg","Khamitov, M; Rotman, JD; Piazza, J","Perceiving the agency of harmful agents: A test of dehumanization versus moral typecasting accounts","http://doi.org/10.1016/j.cognition.2015.09.009"
"WjcZu","Bohn, M; Call, J; Tomasello, M","Communication about absent entities in great apes and human infants","http://doi.org/10.1016/j.cognition.2015.08.009"
"AfBAA","Cosman, JD; Atreya, PV; Woodman, GF","Transient reduction of visual distraction following electrical stimulation of the prefrontal cortex","http://doi.org/10.1016/j.cognition.2015.08.010"
"VhfLP","Leonard, N; Rips, LJ","Identifying and counting objects: The role of sortal concepts","http://doi.org/10.1016/j.cognition.2015.08.003"
"yRQxs","Mozuraitis, M; Chambers, CG; Daneman, M","Privileged versus shared knowledge about object identity in real-time referential processing","http://doi.org/10.1016/j.cognition.2015.05.001"
"ENFbW","Keetels, M; Pecoraro, M; Vroomen, J","Recalibration of auditory phonemes by lipread speech is ear-specific","http://doi.org/10.1016/j.cognition.2015.04.019"
"pcvpW","Langus, A; Saksida, A; Braida, D; Martucci, R; Sala, M; Nespor, M","Spontaneous object and movement representations in 4-month-old human infants and albino Swiss mice","http://doi.org/10.1016/j.cognition.2014.12.010"
"ViLyM","Snapper, L; Oranc, C; Hawley-Dolan, A; Nissel, J; Winner, E","Your kid could not have done that: Even untutored observers can discern intentionality and structure in abstract expressionist art","http://doi.org/10.1016/j.cognition.2014.12.009"
"wUrNc","Helton, WS; Russell, PN","Rest is best: The role of rest and task interruptions on vigilance","http://doi.org/10.1016/j.cognition.2014.10.001"
"LdPNt","Boutin, A; Blandin, Y; Massen, C; Heuer, H; Badets, A","Conscious awareness of action potentiates sensorimotor learning","http://doi.org/10.1016/j.cognition.2014.05.012"
"sjWnl","Schneider, D; Nott, ZE; Dux, PE","Task instructions and implicit theory of mind","http://doi.org/10.1016/j.cognition.2014.05.016"
"wNhKX","Park, J; Brannon, EM","Improving arithmetic performance with number sense training: An investigation of underlying mechanism","http://doi.org/10.1016/j.cognition.2014.06.011"
"Lxnue","Schwarzkopf, S; Schilbach, L; Vogeley, K; Timmermans, B","Making it explicit makes a difference: Evidence for a dissociation of spontaneous and intentional level 1 perspective taking in high-functioning autism","http://doi.org/10.1016/j.cognition.2014.02.003"
"hpbvW","Van Dyke, JA; Johns, CL; Kukona, A","Low working memory capacity is only spuriously related to poor reading comprehension","http://doi.org/10.1016/j.cognition.2014.01.007"
"ICZYM","Fizke, E; Barthel, D; Peters, T; Rakoczy, H","Executive function plays a role in coordinating different perspectives, particularly when one's own perspective is involved","http://doi.org/10.1016/j.cognition.2013.11.017"
