"id","authors","title","doi"
"IBRbN","Rose, SB; Rahman, RA","Cumulative semantic interference for associative relations in language production","http://doi.org/10.1016/j.cognition.2016.03.013"
"RPYAj","Rinaldi, L; Di Luca, S; Henik, A; Girelli, L","A helping hand putting in order: Visuomotor routines organize numerical and non-numerical sequences in space","http://doi.org/10.1016/j.cognition.2016.03.003"
"UlhiU","Wang, Z; Busemeyer, JR","Interference effects of categorization on decision making","http://doi.org/10.1016/j.cognition.2016.01.019"
"szkdy","Opfer, JE; Thompson, CA; Kim, D","Free versus anchored numerical estimation: A unified approach","http://doi.org/10.1016/j.cognition.2015.11.015"
"UPKMX","Kerster, BE; Rhodes, T; Kello, CT","Spatial memory in foraging games","http://doi.org/10.1016/j.cognition.2015.12.015"
"sgYti","Novack, MA; Wakefield, EM; Goldin-Meadow, S","What makes a movement a gesture?","http://doi.org/10.1016/j.cognition.2015.10.014"
"ILQxP","Orena, AJ; Theodore, RM; Polka, L","Language exposure facilitates talker learning prior to language comprehension, even in adults","http://doi.org/10.1016/j.cognition.2015.06.002"
"iaFLb","Freudenthal, D; Pine, JM; Jones, G; Gobet, F","Simulating the cross-linguistic pattern of Optional Infinitive errors in children's declaratives and Wh- questions","http://doi.org/10.1016/j.cognition.2015.05.027"
"dTNTk","Deschamps, I; Agmon, G; Loewenstein, Y; Grodzinsky, Y","The processing of polar quantifiers, and numerosity perception","http://doi.org/10.1016/j.cognition.2015.06.006"
"REanf","Didino, D; Knops, A; Vespignani, F; Kornpetpanee, S","Asymmetric activation spreading in the multiplication associative network due to asymmetric overlap between numerosities semantic representations?","http://doi.org/10.1016/j.cognition.2015.04.002"
"lRmTS","Althaus, N; Plunkett, K","Timing matters: The impact of label synchrony on infant categorisation","http://doi.org/10.1016/j.cognition.2015.02.004"
"RnVPE","Haering, C; Kiesel, A","Was it me when it happened too early? Experience of delayed effects shapes sense of agency","http://doi.org/10.1016/j.cognition.2014.11.012"
"RdfNK","Brothers, T; Swaab, TY; Traxler, MJ","Effects of prediction and contextual support on lexical processing: Prediction takes precedence","http://doi.org/10.1016/j.cognition.2014.10.017"
"DntUn","Cai, ZGG; Connell, L","Space-time interdependence: Evidence against asymmetric mapping between time and space","http://doi.org/10.1016/j.cognition.2014.11.039"
"MvONT","Van Leeuwen, N","Religious credence is not factual belief","http://doi.org/10.1016/j.cognition.2014.08.015"
"UovFF","Milward, SJ; Kita, S; Apperly, IA","The development of co-representation effects in a joint task: Do children represent a co-actor?","http://doi.org/10.1016/j.cognition.2014.04.008"
"lSlip","Corral, D; Jones, M","The effects of relational structure on analogical learning","http://doi.org/10.1016/j.cognition.2014.04.007"
"TISfS","Yeung, HH; Nazzi, T","Object labeling influences infant phonetic learning and generalization","http://doi.org/10.1016/j.cognition.2014.04.001"
"vmgaK","Hartley, C; Allen, ML","Intentions vs. resemblance: Understanding pictures in typical development and autism","http://doi.org/10.1016/j.cognition.2013.12.009"
"mLOKU","Piazza, J; Landy, JF; Goodwin, GP","Cruel nature: Harmfulness as an important, overlooked dimension in judgments of moral standing","http://doi.org/10.1016/j.cognition.2013.12.013"
