"id","authors","title","doi"
"qbRBi","Martin, A; Igarashi, Y; Jincho, N; Mazuka, R","Utterances in infant-directed speech are shorter, not slower","http://doi.org/10.1016/j.cognition.2016.07.015"
"rdVgX","Borodkin, K; Kenett, YN; Faust, M; Mashal, N","When pumpkin is closer to onion than to squash: The structure of the second language lexicon","http://doi.org/10.1016/j.cognition.2016.07.014"
"oBneh","Snefjella, B; Kuperman, V","It's all in the delivery: Effects of context valence, arousal, and concreteness on visual word processing","http://doi.org/10.1016/j.cognition.2016.07.010"
"VwthW","Volter, CJ; Sentis, I; Call, J","Great apes and children infer causal relations from patterns of variation and covariation","http://doi.org/10.1016/j.cognition.2016.06.009"
"EHntj","Macken, B; Taylor, JC; Kozlov, MD; Hughes, RW; Jones, DM","Memory as embodiment: The case of modality and serial short-term memory","http://doi.org/10.1016/j.cognition.2016.06.013"
"gdfIA","Lane, JD; Ronfard, S; Francioli, SP; Harris, PL","Children's imagination and belief: Prone to flights of fancy or grounded in reality?","http://doi.org/10.1016/j.cognition.2016.03.022"
"JVfZf","Nie, QY; Maurer, M; Muller, HJ; Conci, M","Inhibition drives configural superiority of illusory Gestalt: Combined behavioral and drift-diffusion model evidence","http://doi.org/10.1016/j.cognition.2016.02.007"
"jvPew","Lee, HS; DeWolf, M; Bassok, M; Holyoak, KJ","Conceptual and procedural distinctions between fractions and decimals: A cross-national comparison","http://doi.org/10.1016/j.cognition.2015.11.005"
"TehBD","Chen, H; Swan, G; Wyble, B","Prolonged focal attention without binding: Tracking a ball for half a minute without remembering its color","http://doi.org/10.1016/j.cognition.2015.11.014"
"kEaQY","Van de Cavey, J; Hartsuiker, RJ","Is there a domain-general cognitive structuring system? Evidence from structural priming across music, math, action descriptions, and language","http://doi.org/10.1016/j.cognition.2015.09.013"
"jkmma","Lukyanenko, C; Fisher, C","Where are the cookies? Two- and three-year-olds use number-marked verbs to anticipate upcoming nouns","http://doi.org/10.1016/j.cognition.2015.10.012"
"TjjyK","Ruggeri, A; Lombrozo, T","Children adapt their questions to achieve efficient search","http://doi.org/10.1016/j.cognition.2015.07.004"
"wfMNe","Bankieris, K; Simner, J","What is the link between synaesthesia and sound symbolism?","http://doi.org/10.1016/j.cognition.2014.11.013"
"MifqO","Firestone, C; Scholl, BJ","Enhanced visual awareness for morality and pajamas? Perception vs. memory in 'top-down' effects","http://doi.org/10.1016/j.cognition.2014.10.014"
"PNcmz","Reuss, H; Kiesel, A; Kunde, W","Adjustments of response speed and accuracy to unconscious cues","http://doi.org/10.1016/j.cognition.2014.09.005"
"SUllw","Swami, V; Voracek, M; Stieger, S; Tran, US; Furnham, A","Analytic thinking reduces belief in conspiracy theories","http://doi.org/10.1016/j.cognition.2014.08.006"
"VEjWH","Trippas, D; Verde, MF; Handley, SJ","Using forced choice to test belief bias in syllogistic reasoning","http://doi.org/10.1016/j.cognition.2014.08.009"
"rPtll","Holler, J; Schubotz, L; Kelly, S; Hagoort, P; Schuetze, M; Ozyurek, A","Social eye gaze modulates processing of speech and co-speech gesture","http://doi.org/10.1016/j.cognition.2014.08.008"
"izEFn","Vaidya, AR; Jin, CS; Fellows, LK","Eye spy: The predictive value of fixation patterns in detecting subtle and extreme emotions from faces","http://doi.org/10.1016/j.cognition.2014.07.004"
"QBXAw","Grillo, N; Costa, J","A novel argument for the Universality of Parsing principles","http://doi.org/10.1016/j.cognition.2014.05.019"
