"id","authors","title","doi"
"jUAIn","Pepperberg, IM; Nakayama, K","Robust representation of shape in a Grey parrot (Psittacus erithacus)","http://doi.org/10.1016/j.cognition.2016.04.014"
"Wzqlp","Perszyk, DR; Waxman, SR","Listening to the calls of the wild: The role of experience in linking language and cognition in young infants","http://doi.org/10.1016/j.cognition.2016.05.004"
"ljVyE","Heiphetz, L; Spelke, ES; Young, LL","In the name of God: How children and adults judge agents who act for religious versus secular reasons","http://doi.org/10.1016/j.cognition.2015.07.017"
"UKrIG","Monaghan, P; Sio, UN; Lau, SW; Woo, HK; Linkenauger, SA; Ormerod, TC","Sleep promotes analogical transfer in problem solving","http://doi.org/10.1016/j.cognition.2015.06.005"
"MbqHE","Kenward, B; Hellmer, K; Winter, LS; Eriksson, M","Four-year-olds' strategic allocation of resources: Attempts to elicit reciprocation correlate negatively with spontaneous helping","http://doi.org/10.1016/j.cognition.2014.11.035"
