"id","authors","title","doi"
"UgrFE","Legare, CH; Wen, NJ; Herrmann, PA; Whitehouse, H","Imitative flexibility and the development of cultural learning","http://doi.org/10.1016/j.cognition.2015.05.020"
"KRFlp","Kempe, V; Gauvrit, N; Forsyth, D","Structure emerges faster during cultural transmission in children than in adults","http://doi.org/10.1016/j.cognition.2014.11.038"
"lRoRe","Zosh, JM; Feigenson, L","Array heterogeneity prevents catastrophic forgetting in infants","http://doi.org/10.1016/j.cognition.2014.11.042"
