"id","authors","title","doi"
"jWSDW","Nobes, G; Panagiotaki, G; Bartholomew, KJ","The influence of intention, outcome and question-wording on children's and adults' moral judgments","http://doi.org/10.1016/j.cognition.2016.08.019"
"IwMXr","Walker, CM; Bridgers, S; Gopnik, A","The early emergence and puzzling decline of relational reasoning: Effects of knowledge and search on inferring abstract concepts","http://doi.org/10.1016/j.cognition.2016.07.008"
"ohnSk","Bechlivanidis, C; Lagnado, DA","Time reordered: Causal perception guides the interpretation of temporal order","http://doi.org/10.1016/j.cognition.2015.09.001"
"WlvVN","Castro, L; Wasserman, EA","Executive control and task switching in pigeons","http://doi.org/10.1016/j.cognition.2015.07.014"
"LLiNE","Marciano-Romm, D; Romm, A; Bourgeois-Gironde, S; Deouell, LY","The Alternative Omen Effect: Illusory negative correlation between the outcomes of choice options","http://doi.org/10.1016/j.cognition.2015.10.003"
"qFyNq","Vukovic, N; Williams, JN","Individual differences in spatial cognition influence mental simulation of language","http://doi.org/10.1016/j.cognition.2015.05.017"
"ysVzj","DeWind, NK; Adams, GK; Platt, ML; Brannon, EM","Modeling the approximate number system to quantify the contribution of visual stimulus features","http://doi.org/10.1016/j.cognition.2015.05.016"
"tEWYW","Verschoor, SA; Paulus, M; Spape, M; Biro, S; Hommel, B","The developing cognitive substrate of sequential action control in 9-to 12-month-olds: Evidence for concurrent activation models","http://doi.org/10.1016/j.cognition.2015.01.005"
"QItrC","Barrouillet, P; Gauffroy, C","Probability in reasoning: A developmental test on conditionals","http://doi.org/10.1016/j.cognition.2014.12.002"
"khoLc","Schmidt, AF; Kistemaker, LM","The sexualized-body-inversion hypothesis revisited: Valid indicator of sexual objectification or methodological artifact?","http://doi.org/10.1016/j.cognition.2014.09.003"
"VumOW","van Dijk, L; Withagen, R; Bongers, RM","Information without content: A Gibsonian reply to enactivists' worries","http://doi.org/10.1016/j.cognition.2014.10.012"
"MkDmz","Knight, FL; Longo, MR; Bremner, AJ","Categorical perception of tactile distance","http://doi.org/10.1016/j.cognition.2014.01.005"
