"id","authors","title","doi"
"dfTWx","Guterstam, A; Zeberg, H; Ozciftci, VM; Ehrsson, HH","The magnetic touch illusion: A perceptual correlate of visuo-tactile integration in peripersonal space","http://doi.org/10.1016/j.cognition.2016.06.004"
"ZdSxU","Allen, ML; Nurmsoo, E; Freeman, N","Young children show representational flexibility when interpreting drawings","http://doi.org/10.1016/j.cognition.2015.11.003"
"gRkEw","Kuhn, G; Teszka, R; Tenaw, N; Kingstone, A","Don't be fooled! Attentional responses to social cues in a face-to-face and video magic trick reveals greater top-down control for overt than covert attention","http://doi.org/10.1016/j.cognition.2015.08.005"
"DoDsH","Guerra, E; Knoeferle, P","Spatial distance effects on incremental semantic interpretation of abstract sentences: Evidence from eye tracking","http://doi.org/10.1016/j.cognition.2014.07.007"
"fLKQZ","Perea, M; Abu Mallouh, R; Carreiras, M","Are root letters compulsory for lexical access in Semitic languages? The case of masked form-priming in Arabic","http://doi.org/10.1016/j.cognition.2014.05.008"
